Hours_Studied,Exam_Score
1.43,34.83
1.23,38.51
7.21,52.22
8.77,65.44
9.01,65.91
1.33,37.6
5.4,62.28
2.52,38.45
11.76,98.43
6.16,69.08
6.46,61.55
8.6,75.26
10.17,67.88
10.69,85.64
10.41,59.72
10.51,84.97
6.3,67.23
6.16,53.52
6.91,65.71
6.28,48.22
8.61,65.94
10.2,78.03
8.41,63.32
11.75,64.26
4.82,63.76
8.38,69.54
4.82,36.77
7.17,79.74
6.27,45.13
5.83,61.04
9.91,79.24
9.98,63.02
11.0,91.31
6.18,67.9
11.58,100
0.77,34.77
5.98,70.39
5.39,45.35
6.56,68.3
1.45,57.7
7.62,71.01
9.23,79.32
5.9,59.56
7.06,60.65
10.51,72.2
11.22,78.47
10.98,74.13
6.24,68.78
0.17,60.4
11.21,92.61
0.31,28.87
10.97,80.32
5.6,55.92
2.48,42.94
5.51,59.79
0.41,39.38
2.08,17.03
8.14,28.11
6.2,65.67
4.68,54.11
4.97,61.24
3.16,50.29
9.36,63.71
5.78,63.78
9.56,78.77
2.78,37.65
10.54,70.16
10.19,67.36
11.53,75.6
6.87,67.78
1.32,37.99
2.57,39.37
3.22,46.18
11.46,77.52
8.21,69.87
7.56,53.47
3.32,51.24
3.13,70.23
10.86,63.99
1.48,50.34
6.92,71.02
7.29,62.78
7.38,72.39
5.55,56.1
10.54,68.62
11.08,58.51
11.36,67.93
0.28,37.62
3.47,59.05
9.21,68.09
10.84,68.16
8.66,68.46
7.43,69.37
7.77,70.45
0.35,31.23
2.87,44.58
2.63,49.91
11.22,88.22
4.76,76.01
5.01,60.22
